File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR	EntrezIDs
ENCFF258NNN	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EAY	TF ChIP-seq	/human-donors/ENCDO000ACH/	EFO:0005348	GM18526	cell line	Homo sapiens										POLR2A-human	DNA						2011-10-29	ENCODE		see document		1, 2, 3	1_1, 2_1, 3_1							/files/ENCFF574HMK/, /files/ENCFF313OCU/, /files/ENCFF112DUQ/, /files/ENCFF084RDR/, /files/ENCFF169ROU/, /files/ENCFF356LFX/, /files/ENCFF030IFB/	412209	ENCODE Processing Pipeline	d6572096ec49e43dc93001df3574f556		https://www.encodeproject.org/files/ENCFF258NNN/@@download/ENCFF258NNN.bed.gz				released	s3://encode-public/2020/12/10/cc6c726b-4a19-4126-811c-3b4dcbdb0671/ENCFF258NNN.bed.gz	ENCODE4 v1.6.1 GRCh38	released		insufficient read length	extremely low read depth	5430
ENCFF865YQH	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR422ZAO	TF ChIP-seq	/human-donors/ENCDO000ABD/	EFO:0003072	SK-N-SH	cell line	Homo sapiens										IRF3-human	DNA						2016-11-10	ENCODE			150-350	2, 3	2_1, 3_1							/files/ENCFF356LFX/, /files/ENCFF935MQX/, /files/ENCFF191PNI/, /files/ENCFF189SIG/	42631	ENCODE Processing Pipeline	c826378f46bc2e6aba34bf25ece798d4		https://www.encodeproject.org/files/ENCFF865YQH/@@download/ENCFF865YQH.bed.gz				released	s3://encode-public/2020/12/04/3aa9caf1-9054-4f3e-848b-79335920e850/ENCFF865YQH.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, mild to moderate bottlenecking, low read length			3661
ENCFF954CVW	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR945NFL	TF ChIP-seq	/human-donors/ENCDO000ABD/	EFO:0003072	SK-N-SH	cell line	Homo sapiens										USF2-human	DNA						2017-06-15	ENCODE			150-350	1, 2	1_1, 2_1							/files/ENCFF678UTI/, /files/ENCFF685FSK/, /files/ENCFF191PNI/, /files/ENCFF356LFX/	51135	ENCODE Processing Pipeline	6f802d348dbc9d50a1b9a7502ebe7117		https://www.encodeproject.org/files/ENCFF954CVW/@@download/ENCFF954CVW.bed.gz				released	s3://encode-public/2020/12/02/ea71f978-8371-4aaf-965b-4c78144ca9c7/ENCFF954CVW.bed.gz	ENCODE4 v1.6.1 GRCh38	released	borderline replicate concordance, low read depth, low read length, antibody characterized with exemption			7392
ENCFF066OJB	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR272JAT	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										CBX5-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF433VKM/, /files/ENCFF793EAF/, /files/ENCFF715WCF/, /files/ENCFF356LFX/, /files/ENCFF318XIW/	124082	ENCODE Processing Pipeline	b736a8c8e31dac7cd0d1e46489b5356b		https://www.encodeproject.org/files/ENCFF066OJB/@@download/ENCFF066OJB.bed.gz				released	s3://encode-public/2021/02/04/a8166fb9-6097-42e4-a668-d0121ce30b0f/ENCFF066OJB.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, borderline replicate concordance			23468
ENCFF029VWV	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR618ICR	TF ChIP-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens										RCOR1-human	DNA						2014-07-07	ENCODE			150-350	1, 2	1_1, 2_1							/files/ENCFF302AJZ/, /files/ENCFF968ZQN/, /files/ENCFF682VRL/, /files/ENCFF685KWQ/, /files/ENCFF821HQW/, /files/ENCFF356LFX/, /files/ENCFF069XVV/	14807	ENCODE Processing Pipeline	54cc148c160743175b844afbcd30e944		https://www.encodeproject.org/files/ENCFF029VWV/@@download/ENCFF029VWV.bed.gz				released	s3://encode-public/2020/12/07/9517c016-681d-465d-b986-5e6961c58f15/ENCFF029VWV.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length, antibody characterized with exemption			23186
ENCFF408OJF	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR000DVA	TF ChIP-seq	/human-donors/ENCDO333AAA/	CL:0002553	fibroblast of lung	primary cell	Homo sapiens										CTCF-human	DNA						2011-03-17	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF235UBC/, /files/ENCFF666LKV/, /files/ENCFF659YIK/, /files/ENCFF356LFX/	779739	ENCODE Processing Pipeline	5b6418e2e5f7eb60d75d41a377ed1533		https://www.encodeproject.org/files/ENCFF408OJF/@@download/ENCFF408OJF.bed.gz				released	s3://encode-public/2020/08/13/e2ac3462-739f-4223-808f-cfe6dca64ad7/ENCFF408OJF.bed.gz	ENCODE4 v1.5.1 GRCh38	released	control low read depth, inconsistent platforms, low read length, low read depth			10664
ENCFF833ZAC	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BTH	TF ChIP-seq	/human-donors/ENCDO000ABD/	EFO:0003072	SK-N-SH	cell line	Homo sapiens										GATA3-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF942SHO/, /files/ENCFF830FFS/, /files/ENCFF222SZK/, /files/ENCFF356LFX/, /files/ENCFF309OCP/, /files/ENCFF802NGE/, /files/ENCFF499VYQ/	1230642	ENCODE Processing Pipeline	a572d0981283a3116f64dcabe1746018		https://www.encodeproject.org/files/ENCFF833ZAC/@@download/ENCFF833ZAC.bed.gz				released	s3://encode-public/2020/07/01/81574919-44da-4243-a51b-94078680553f/ENCFF833ZAC.bed.gz	ENCODE4 v1.4.0 GRCh38	released				2625
ENCFF634OOU	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BRW	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										TRIM28-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF616OYL/, /files/ENCFF113TEZ/, /files/ENCFF428XAM/, /files/ENCFF728MBI/, /files/ENCFF838ZUU/, /files/ENCFF809WHG/, /files/ENCFF356LFX/, /files/ENCFF140GBQ/	278269	ENCODE Processing Pipeline	3ee6407224f3d24e93ced0a77c311d03		https://www.encodeproject.org/files/ENCFF634OOU/@@download/ENCFF634OOU.bed.gz				released	s3://encode-public/2021/02/04/bbe064b1-e7dd-4c6c-977a-142a34a11fba/ENCFF634OOU.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, inconsistent platforms, low read length, moderate library complexity, mild to moderate bottlenecking	severe bottlenecking		10155
ENCFF463FGL	bed narrowPeak	bed	narrowPeak	conservative IDR thresholded peaks	GRCh38	ENCSR240PRQ	TF ChIP-seq	/human-donors/ENCDO000ABE/	EFO:0002824	HCT116	cell line	Homo sapiens										CTCF-human	DNA						2017-10-19	ENCODE		sonication (generic)	200-600	1, 2	1_1, 2_1							/files/ENCFF539DNR/, /files/ENCFF356LFX/, /files/ENCFF209VII/, /files/ENCFF172XLC/, /files/ENCFF603FXX/	987887	ENCODE Processing Pipeline	d1ca230c75391179937ace2a17ed0043		https://www.encodeproject.org/files/ENCFF463FGL/@@download/ENCFF463FGL.bed.gz				released	s3://encode-public/2020/10/10/89832f3d-7f96-4d0f-94e8-f649bed24134/ENCFF463FGL.bed.gz	ENCODE4 v1.5.1 GRCh38	released	mixed read lengths, mixed run types, low read length, antibody characterized with exemption			10664
ENCFF014PHS	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR459FTB	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										UBTF-human	DNA						2014-07-07	ENCODE			150-350	1, 2	1_1, 2_1							/files/ENCFF500GXC/, /files/ENCFF402BOP/, /files/ENCFF614DCJ/, /files/ENCFF833EYH/, /files/ENCFF356LFX/	24392	ENCODE Processing Pipeline	6fea328d2275b56553e29cf02026c995		https://www.encodeproject.org/files/ENCFF014PHS/@@download/ENCFF014PHS.bed.gz				released	s3://encode-public/2020/12/03/6fde51b6-0d26-4a19-9abe-40862e609e16/ENCFF014PHS.bed.gz	ENCODE4 v1.6.1 GRCh38	released	borderline replicate concordance, low read depth, mild to moderate bottlenecking, low read length			7343
ENCFF494YNM	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EZE	TF ChIP-seq	/human-donors/ENCDO000AAB/	EFO:0002791	HeLa-S3	cell line	Homo sapiens										FOS-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF363FNW/, /files/ENCFF412ROO/, /files/ENCFF859AUX/	166597	ENCODE Processing Pipeline	2035979a33b910bf60f557210cc91c9a		https://www.encodeproject.org/files/ENCFF494YNM/@@download/ENCFF494YNM.bed.gz				released	s3://encode-public/2021/02/04/6e4f1d8a-0073-41e6-a96f-1f676f493940/ENCFF494YNM.bed.gz	ENCODE4 v1.6.1 GRCh38	released	inconsistent platforms, borderline replicate concordance	insufficient read length	extremely low read depth	2353
ENCFF483ERE	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR664OKA	TF ChIP-seq	/human-donors/ENCDO000AAX/	EFO:0001196	IMR-90	cell line	Homo sapiens										ELK1-human	DNA						2016-09-01	ENCODE			150-350	1, 2	1_1, 2_1							/files/ENCFF561VUD/, /files/ENCFF899EBF/, /files/ENCFF793CDU/, /files/ENCFF356LFX/, /files/ENCFF685PVI/	11731	ENCODE Processing Pipeline	3b18e6bb3200ce632db13192d9e98a10		https://www.encodeproject.org/files/ENCFF483ERE/@@download/ENCFF483ERE.bed.gz				released	s3://encode-public/2020/11/30/b37f46b6-b684-4c20-92c0-aeef4e92e5ba/ENCFF483ERE.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length, moderate library complexity, mild to moderate bottlenecking, borderline replicate concordance			2002
ENCFF569JWM	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BUZ	TF ChIP-seq	/human-donors/ENCDO000AAE/	EFO:0001203	MCF-7	cell line	Homo sapiens										PML-human	DNA						2012-09-10	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF731WWK/, /files/ENCFF671SEQ/, /files/ENCFF310KKN/, /files/ENCFF153LTH/, /files/ENCFF356LFX/, /files/ENCFF960XET/, /files/ENCFF120CKN/	218181	ENCODE Processing Pipeline	426cfafb0a5ccc7fe84c5ce2ce0746e7		https://www.encodeproject.org/files/ENCFF569JWM/@@download/ENCFF569JWM.bed.gz				released	s3://encode-public/2020/12/12/0390dc0c-4f57-4ff3-b30e-35b603b28fb7/ENCFF569JWM.bed.gz	ENCODE4 v1.6.1 GRCh38	released	borderline replicate concordance			5371
ENCFF324ELP	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR077DKV	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										CREM-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF221UDP/, /files/ENCFF356LFX/, /files/ENCFF318XIW/, /files/ENCFF793EAF/, /files/ENCFF055OGA/	647971	ENCODE Processing Pipeline	12b96129f21972df291c1025ef29b6f1		https://www.encodeproject.org/files/ENCFF324ELP/@@download/ENCFF324ELP.bed.gz				released	s3://encode-public/2021/02/04/3a240b7d-2454-40cc-9767-b8ba945200b2/ENCFF324ELP.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, antibody characterized with exemption			1390
ENCFF294IGP	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR839XZU	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										CREM-human	DNA						2014-07-07	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF612NNB/, /files/ENCFF356LFX/, /files/ENCFF729SDE/, /files/ENCFF923QPK/, /files/ENCFF219FGG/	601360	ENCODE Processing Pipeline	a78cba019614d13d799b17b20acf28ec		https://www.encodeproject.org/files/ENCFF294IGP/@@download/ENCFF294IGP.bed.gz				released	s3://encode-public/2021/02/04/924d5a8d-c4bf-4fc5-bba5-995a8501e472/ENCFF294IGP.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read depth, antibody characterized with exemption			1390
ENCFF029RBI	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR815ZDS	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										SREBF1-human	DNA						2014-07-07	ENCODE			150-350	1, 2	1_1, 2_1							/files/ENCFF595DTP/, /files/ENCFF625UZL/, /files/ENCFF356LFX/, /files/ENCFF005NXS/, /files/ENCFF253OGH/	51543	ENCODE Processing Pipeline	b286c5e7861dccda6758756ec4cab94c		https://www.encodeproject.org/files/ENCFF029RBI/@@download/ENCFF029RBI.bed.gz				released	s3://encode-public/2020/12/03/db4175e6-3917-435e-b177-e7204131f651/ENCFF029RBI.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth, borderline replicate concordance, antibody characterized with exemption			6720
ENCFF724DNU	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR364SNE	TF ChIP-seq	/human-donors/ENCDO000AAD/	EFO:0002067	K562	cell line	Homo sapiens										POU5F1-human	DNA						2014-07-07	ENCODE			150-350	1, 2	1_1, 2_1							/files/ENCFF253OGH/, /files/ENCFF005NXS/, /files/ENCFF134NFM/, /files/ENCFF495SPQ/, /files/ENCFF356LFX/	38477	ENCODE Processing Pipeline	3ff35d4a989c6cbea303bfa0c541873a		https://www.encodeproject.org/files/ENCFF724DNU/@@download/ENCFF724DNU.bed.gz				released	s3://encode-public/2020/12/01/751d2680-690a-4ece-aae1-9b4b5b17e5f0/ENCFF724DNU.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length, low read depth, mild to moderate bottlenecking, borderline replicate concordance	partially characterized antibody		5460
ENCFF627JQX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR900XDB	TF ChIP-seq	/human-donors/ENCDO000AAK/	EFO:0002784	GM12878	cell line	Homo sapiens										ZFP36-human	DNA						2014-07-07	ENCODE			150-350	4, 5	4_1, 5_1							/files/ENCFF809HYS/, /files/ENCFF140KJO/, /files/ENCFF402BOP/, /files/ENCFF356LFX/, /files/ENCFF500GXC/	191611	ENCODE Processing Pipeline	8165c2b5217ec3b1f139b690912c4877		https://www.encodeproject.org/files/ENCFF627JQX/@@download/ENCFF627JQX.bed.gz				released	s3://encode-public/2020/12/02/630effaf-ff8c-4131-b791-8f33720d6314/ENCFF627JQX.bed.gz	ENCODE4 v1.6.1 GRCh38	released	mild to moderate bottlenecking, low read length	partially characterized antibody		7538
ENCFF757QNZ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR067HGI	TF ChIP-seq	/human-donors/ENCDO000AAZ/	EFO:0001086	A549	cell line	Homo sapiens										CHD2-human	DNA						2014-07-07	ENCODE			150-350	1, 3	1_1, 3_1							/files/ENCFF792SXD/, /files/ENCFF302AJZ/, /files/ENCFF821HQW/, /files/ENCFF968ZQN/, /files/ENCFF490TAO/, /files/ENCFF356LFX/, /files/ENCFF682VRL/	65025	ENCODE Processing Pipeline	b48a5702ce9fc319a08a42f9bcb055b8		https://www.encodeproject.org/files/ENCFF757QNZ/@@download/ENCFF757QNZ.bed.gz				released	s3://encode-public/2020/12/09/9c41513f-5559-40ff-8f29-42a1f7234bc9/ENCFF757QNZ.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length	partially characterized antibody		1106
ENCFF280WZN	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR140DSL	TF ChIP-seq	/human-donors/ENCDO000AAB/	EFO:0002791	HeLa-S3	cell line	Homo sapiens										MAFF-human	DNA						2014-07-07	ENCODE			150-350	2, 3	2_1, 3_1							/files/ENCFF172RXS/, /files/ENCFF513BKT/, /files/ENCFF190YLP/, /files/ENCFF953KUK/, /files/ENCFF356LFX/	424730	ENCODE Processing Pipeline	3b4e82e4ccf17e720d8c83518a88b21a		https://www.encodeproject.org/files/ENCFF280WZN/@@download/ENCFF280WZN.bed.gz				released	s3://encode-public/2020/12/01/d995299d-33a1-4b19-97e4-c32288a8a24e/ENCFF280WZN.bed.gz	ENCODE4 v1.6.1 GRCh38	released	low read length			23764
ENCFF029TZI	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR072EUE	TF ChIP-seq	/human-donors/ENCDO350AAA/	EFO:0005907	OCI-LY1	cell line	Homo sapiens										CTCF-human	DNA						2017-11-13	ENCODE		sonication (generic), shearing (Covaris generic)	200-600	1, 2	1_1, 2_1							/files/ENCFF060CLB/, /files/ENCFF356LFX/, /files/ENCFF250FPC/, /files/ENCFF906FYY/, /files/ENCFF099BXP/	908764	ENCODE Processing Pipeline	fa85d9ede1d37497a3630771ddb58a51		https://www.encodeproject.org/files/ENCFF029TZI/@@download/ENCFF029TZI.bed.gz				released	s3://encode-public/2020/10/10/3dfc6461-be5c-4055-8314-236d84ac3ff4/ENCFF029TZI.bed.gz	ENCODE4 v1.5.1 GRCh38	released	low read length, mixed read lengths, moderate library complexity, antibody characterized with exemption, mild to moderate bottlenecking			10664
